input,solovay mean,solovay stddev,miller mean, miller stddev,AKS mean, AKS stddev
1259,10126.01,1719.8444990489957,14710.55,950.2367634256509,1.626659273E9,NaN
1413,7695.71,5133.652076477646,10263.78,771.5130821700924,822248.0,NaN
1585,10616.26,4366.438959179714,6464.71,2349.1799957483554,768304.0,NaN
1779,9363.99,6182.359112168928,19483.5,2571.3332842293817,653351.0,NaN
1995,8351.45,11075.265285260168,14743.71,2276.7659426200903,551663.0,NaN
2239,16538.68,1818.7550069631523,16501.54,7591.624679949089,5.309573197E9,NaN
2513,14933.53,6947.14679817942,3103.28,942.7961001534991,1035203.0,NaN
2819,24833.01,7797.073904006904,18619.84,1784.4018533226797,9.283034621E9,NaN
3163,22254.67,1937.8881875314014,20737.28,1214.9762526672919,1.1735434709E10,NaN
3549,14588.58,12162.509102993678,12300.04,1658.7465020248876,900229.0,NaN
3981,17953.13,12806.88750906316,13901.95,2260.9043929902073,1297408.0,NaN
4467,24534.57,12042.732353183146,30161.25,7388.365859118092,1123803.0,NaN
5013,25960.09,18112.02143178264,17181.25,2320.3016930928825,1455022.0,NaN
5623,39778.54,10163.482453580684,36773.15,3229.4230537513986,4.3050914623E10,NaN
6311,42832.13,3815.8596808768293,42837.98,9527.172477379498,5.5564331139E10,NaN
7079,47643.36,3156.477049503196,46132.0,3300.536035436081,7.6796556664E10,NaN
7943,49898.28,18089.144897222955,52338.08,4138.582335910584,1770210.0,NaN
8913,37215.5,28507.21322806393,8302.76,1668.5732980331102,1884600.0,NaN
10001,66125.65,3527.9938368180665,9274.47,1522.8133417587273,2300548.0,NaN
