input,solovay mean,solovay stddev,miller mean, miller stddev
44669,2334.2,1123.1851714178433,1628.55,325.80636174503314
45709,2303.06,914.6293372981564,1210.73,185.3227517689944
46775,2448.99,1027.136034925474,1218.08,389.0541932077398
47863,2514.03,361.2126449177615,1123.44,158.986647047461
48979,2568.4,633.3115626242234,1138.93,364.1167882075001
50119,3415.5,1432.3158298237286,885.42,150.58359066570887
51287,3349.03,1538.8308132534196,851.86,143.1376409000241
52481,3204.65,1784.081918075524,2010.49,826.9541838102109
53703,2452.1,1257.0800582012562,1085.42,187.16681804683697
54955,2359.47,1263.3257491976724,1096.24,159.1336469002001
56235,1753.33,1176.4412957403495,1136.23,187.45034925105753
57545,2353.3,1781.440465273294,1308.58,325.7178608066878
58885,2048.92,1132.6923292435913,1167.3,204.65573458119795
60257,2237.82,137.63048023933175,2332.2,559.756873629755
61661,2332.41,993.6402016847152,1217.69,208.14537921579927
63097,2371.44,1014.9438788286357,2002.43,670.7520918997412
64565,2038.35,1142.7389865643604,1265.17,303.36759896371615
66069,1837.68,1113.025015192581,1165.09,169.81600827562363
67609,2229.04,1054.0879816843153,1284.42,208.17524571690302
69183,2017.81,1203.0481043221548,1116.12,152.4137961358002
70795,2226.26,1107.9405284334782,1073.11,181.9892268428785
72445,2289.25,1496.415281412364,1258.27,172.8940152378055
74131,2431.39,1461.5163074939353,873.56,164.39514603662727
75859,2421.51,1657.4057768059997,1086.68,256.0964890762302
77625,1884.84,1429.6071984353534,1438.51,289.22887707373434
79433,2420.73,1010.1374929416613,2135.0,836.0687227081929
81283,2515.99,1473.9748054738648,902.84,134.22465112525703
83177,2478.6,1443.8300356057061,2041.12,679.3857338460496
85115,2092.73,1182.015090359841,1114.48,156.02126765154796
87097,2370.56,974.1126324024654,1349.87,344.65343902288737
89125,2141.87,1593.313247337577,1212.63,177.17517753724292
91201,2235.79,1028.1808717095912,1647.52,319.04397847635397
93325,2215.26,1099.427956124034,1236.44,274.37736014032896
95499,2917.43,6974.927066350519,1097.55,191.5437748316758
97725,2399.14,2649.2288110567824,1465.94,1503.408375604707
100001,2851.89,668.6116460489776,2381.57,470.5285069563647
102329,3124.07,472.718834044727,3130.66,1195.795202390696
104713,2774.98,557.8322578327538,1996.44,129.8018941201234
107153,2803.1,247.6778414217007,2318.64,728.4882717108095
109649,2625.76,854.1334213190243,2236.97,306.92665050118865
112203,1945.3,953.8485098787861,1709.72,114.94496531168754
114815,2493.12,746.9219568984233,1754.5,262.2458365501325
117491,2773.93,489.05060065396094,1759.46,254.28221099456178
120227,2156.63,254.4963596413652,1763.6,449.3246110114673
123027,2162.73,893.1296449716986,1692.57,261.1561418080003
125893,2164.61,566.0804257204433,1938.68,142.9267581029465
128825,2417.46,961.7598707000041,2204.46,346.0055590141391
131827,3061.09,696.6909100464957,1950.54,1851.4309312889138
134897,2714.16,791.9466454837278,2341.13,359.34521414552455
138039,2133.49,1062.050917524269,1747.91,268.4655271965645
141255,2422.07,2523.5738897184465,1756.71,260.8696138965698
144545,2563.41,974.677228054954,2486.27,554.2446284645602
147911,2924.45,301.99716952984915,1132.79,229.6440502124534
151357,2950.51,139.34620029033277,2531.17,1487.2822686247748
154883,2965.1,485.6626525904706,928.05,185.5125781899079
158489,3083.76,1461.1332817613552,3084.93,1195.1686010557235
162181,3320.33,2785.7847272475415,1930.69,207.63024122392932
165959,2113.04,296.6966930667879,1650.98,96.47996390102685
169825,2316.59,873.7557744783969,2570.85,447.43401691752246
173781,1916.3,759.3881441893559,1949.96,411.24187186097333
177829,2175.94,397.6782319433844,1927.46,118.089199294004
181971,2322.4,899.895122957799,1779.66,115.90985874176259
186209,2066.6,441.73866765888926,2513.17,144.97502780433837
190547,2584.65,816.9473157227867,1764.78,94.11003445891724
194985,1888.64,997.0674730722017,2178.67,130.3180301796301
199527,2343.76,917.3062134821336,1842.59,399.641002916519
204175,2463.78,846.1338048781502,1933.14,430.74295740445416
208931,2912.51,464.69854451324386,1403.44,1369.7807191612303
213797,2100.62,321.622081381741,2064.27,1464.3524431907736
218777,2771.25,505.37707444415935,2144.38,1060.1627164990032
223873,1994.9,684.8445005247466,3003.58,1545.353015666745
229087,2757.99,1901.8543343247666,1925.74,1269.944392483387
234423,601.28,412.797993496024,1849.19,1086.4842633211233
239883,756.42,523.5814733085188,1727.68,214.3611547050086
245471,969.12,136.26143024985967,1481.9,199.10149180858494
251189,1427.53,1041.950690539217,1980.22,954.1021754571786
257041,1001.62,256.69011227036725,10162.53,64125.42973860454
263027,1232.84,137.47431128260385,1723.27,719.7967846636449
269153,975.83,977.6222241910846,1600.57,309.7570652865718
275423,1256.64,82.9288998132884,1404.81,87.1125702696798
281839,947.27,141.89424536846758,1390.54,102.28317001680612
288403,1244.08,440.64621233416324,908.74,173.02738850169692
295121,1154.77,105.52024603474123,2574.15,1087.2523182478633
301995,623.03,422.2771471319505,1148.19,207.282254986584
309031,1255.91,82.90923539106672,1012.26,804.3499366606928
316229,908.29,139.7097492675584,2048.07,280.8282215162857
323595,705.09,535.4605512259441,1099.41,205.21868577178586
331131,608.87,426.9476975750618,1734.64,96.6716320563817
338845,952.65,486.14877747288847,1870.1,315.18227851018014
346737,653.73,406.37965169670014,1766.55,95.59440571519028
354813,902.68,543.0921546890994,1799.36,111.7641383730158
363079,946.6,184.43355815506396,1634.23,1298.2014742626732
371535,748.22,552.1490901720096,1612.46,442.24942503003217
380189,992.42,183.65201943464774,2405.58,2294.8822428802027
389045,1072.17,453.8869848877637,1665.38,106.44387528579833
398107,874.75,235.1236242636386,1563.49,98.76648257788713
407381,1193.77,353.2536175084811,1653.92,128.41368440876673
416869,960.47,367.9919425720892,1014.58,349.2175721914246
426581,1144.96,338.0165234141818,994.71,177.4152405396943
436517,860.67,245.3806795140723,1027.35,345.5949744478882
446685,603.36,547.4611470001753,1034.32,149.8144900006053
457089,710.26,396.09652481396114,1077.16,173.7353566244192
467735,1095.11,458.36183702001597,1031.07,186.89273404925098
478631,941.77,146.38656828321845,990.45,198.30353099236635
